,TOTAL
2016-01-01 00:00:00,33852.75859
2016-01-01 01:00:00,33434.09794
2016-01-01 02:00:00,33099.06602
2016-01-01 03:00:00,33053.80761
2016-01-01 04:00:00,33441.89907
2016-01-01 05:00:00,34400.40585
2016-01-01 06:00:00,35395.74694
2016-01-01 07:00:00,36094.31165
2016-01-01 08:00:00,36857.72946
2016-01-01 09:00:00,38056.83571
2016-01-01 10:00:00,38761.04806
2016-01-01 11:00:00,38880.27405
2016-01-01 12:00:00,38613.15078
2016-01-01 13:00:00,38104.05512
2016-01-01 14:00:00,37616.30439
2016-01-01 15:00:00,37480.77985
2016-01-01 16:00:00,37923.55681
2016-01-01 17:00:00,39874.4892
2016-01-01 18:00:00,41171.12367
2016-01-01 19:00:00,40901.99508
2016-01-01 20:00:00,40525.07659
2016-01-01 21:00:00,39774.835569999996
2016-01-01 22:00:00,38564.484280000004
2016-01-01 23:00:00,37005.2277
2016-01-02 00:00:00,35639.5728
2016-01-02 01:00:00,34751.63952
2016-01-02 02:00:00,34190.896239999995
2016-01-02 03:00:00,33907.21596
2016-01-02 04:00:00,34180.1049
2016-01-02 05:00:00,35017.06741
2016-01-02 06:00:00,36244.12718
2016-01-02 07:00:00,37557.22273
2016-01-02 08:00:00,38738.5573
2016-01-02 09:00:00,40103.55345
2016-01-02 10:00:00,40749.01669
2016-01-02 11:00:00,40595.55384
2016-01-02 12:00:00,40020.94652
2016-01-02 13:00:00,39036.46109
2016-01-02 14:00:00,38216.89924
2016-01-02 15:00:00,37920.97743
2016-01-02 16:00:00,38243.33197
2016-01-02 17:00:00,40018.29513
2016-01-02 18:00:00,41322.81987
2016-01-02 19:00:00,41060.15578
2016-01-02 20:00:00,40569.45952
2016-01-02 21:00:00,39659.74081
2016-01-02 22:00:00,38214.58627
2016-01-02 23:00:00,36511.74022
2016-01-03 00:00:00,35150.46129
2016-01-03 01:00:00,34305.60586
2016-01-03 02:00:00,33940.87913
2016-01-03 03:00:00,33960.45048
2016-01-03 04:00:00,34377.9665
2016-01-03 05:00:00,35319.3413
2016-01-03 06:00:00,36688.31165
2016-01-03 07:00:00,37985.55948
2016-01-03 08:00:00,38541.84457
2016-01-03 09:00:00,38095.043880000005
2016-01-03 10:00:00,36891.888230000004
2016-01-03 11:00:00,35485.035469999995
2016-01-03 12:00:00,34274.20381
2016-01-03 13:00:00,33193.61351
2016-01-03 14:00:00,32352.432189999996
2016-01-03 15:00:00,31938.229610000002
2016-01-03 16:00:00,32134.34379
2016-01-03 17:00:00,34112.21025
2016-01-03 18:00:00,37128.10879
2016-01-03 19:00:00,37908.137839999996
2016-01-03 20:00:00,37987.62846
2016-01-03 21:00:00,37607.97125
2016-01-03 22:00:00,36278.51295
2016-01-03 23:00:00,34745.45126
2016-01-04 00:00:00,33858.741389999996
2016-01-04 01:00:00,33686.6208
2016-01-04 02:00:00,34027.3653
2016-01-04 03:00:00,34856.33942
2016-01-04 04:00:00,36609.48399
2016-01-04 05:00:00,39915.59609
2016-01-04 06:00:00,44061.2398
2016-01-04 07:00:00,45766.623419999996
2016-01-04 08:00:00,44706.79338
2016-01-04 09:00:00,42997.70609
2016-01-04 10:00:00,41219.48193
2016-01-04 11:00:00,39390.19489
2016-01-04 12:00:00,37760.58265
2016-01-04 13:00:00,36580.05459
2016-01-04 14:00:00,35564.46865
2016-01-04 15:00:00,34924.89626
2016-01-04 16:00:00,34968.0616
2016-01-04 17:00:00,37134.0834
2016-01-04 18:00:00,40482.38876
2016-01-04 19:00:00,41218.815310000005
2016-01-04 20:00:00,41443.44961
2016-01-04 21:00:00,40608.98544
2016-01-04 22:00:00,38585.12223
2016-01-04 23:00:00,36625.83313
2016-01-05 00:00:00,35515.5421
2016-01-05 01:00:00,35232.65428
2016-01-05 02:00:00,35377.80845
