,Load,Wind,Solar,Nuclear,NetLoad1,DispGen,NetLoad2
1/1/2016 0:00,33853,4365,0,4712,24776,22821,1955
1/1/2016 1:00,33853,4491,0,4712,24650,22362,2288
1/1/2016 2:00,33434,4458,0,4712,24264,22039,2225
1/1/2016 3:00,33099,4665,0,4712,23722,21903,1819
1/1/2016 4:00,33054,4691,0,4712,23651,22214,1437
1/1/2016 5:00,33442,4678,0,4712,24052,23304,748
1/1/2016 6:00,34400,4551,0,4712,25137,23863,1274
1/1/2016 7:00,35396,4339,0,4712,26345,24592,1753
1/1/2016 8:00,36094,3839,0,4712,27544,25711,1833
1/1/2016 9:00,36858,3739,26,4712,28380,26710,1670
1/1/2016 10:00,38057,3485,31,4712,29830,27630,2200
1/1/2016 11:00,38761,3285,46,4712,30718,27891,2827
1/1/2016 12:00,38880,3229,52,4712,30888,27989,2899
1/1/2016 13:00,38613,2461,63,4712,31377,27896,3481
1/1/2016 14:00,38104,2322,59,4712,31011,27285,3726
1/1/2016 15:00,37616,2302,41,4712,30562,27335,3227
1/1/2016 16:00,37481,2163,24,4712,30581,27742,2839
1/1/2016 17:00,37924,1985,29,4712,31198,29718,1480
1/1/2016 18:00,39874,2054,0,4712,33109,31001,2108
1/1/2016 19:00,41171,2275,0,4712,34184,30754,3430
1/1/2016 20:00,40902,2259,0,4712,33931,30450,3481
1/1/2016 21:00,40525,2093,0,4712,33720,29826,3894
1/1/2016 22:00,39775,2065,0,4712,32998,28440,4558
1/1/2016 23:00,38564,2228,0,4712,31625,26987,4638
1/2/2016 0:00,37005,2103,0,4712,30190,25931,4259
1/2/2016 1:00,35640,2526,0,4712,28402,24970,3432
1/2/2016 2:00,34752,2450,0,4712,27589,24670,2919
1/2/2016 3:00,34191,2481,0,4712,26998,24422,2576
1/2/2016 4:00,33907,2412,0,4712,26783,24516,2267
1/2/2016 5:00,34180,2472,0,4712,26997,25042,1955
1/2/2016 6:00,35017,2588,0,4712,27717,25637,2080
1/2/2016 7:00,36244,2496,0,4712,29036,26886,2150
1/2/2016 8:00,37557,2092,0,4712,30753,28590,2163
1/2/2016 9:00,38739,1646,22,4712,32359,30608,1751
1/2/2016 10:00,40104,1563,30,4712,33798,31521,2277
1/2/2016 11:00,40749,1358,42,4712,34637,31805,2832
1/2/2016 12:00,40596,839,49,4712,34996,31365,3631
1/2/2016 13:00,40021,1067,49,4712,34193,30281,3912
1/2/2016 14:00,39036,1136,44,4712,33144,29432,3712
1/2/2016 15:00,38217,1275,43,4712,32187,28802,3385
1/2/2016 16:00,37921,1034,46,4712,32129,28947,3182
1/2/2016 17:00,38243,921,32,4712,32578,30986,1592
1/2/2016 18:00,40018,967,0,4712,34339,31992,2347
1/2/2016 19:00,41323,1373,0,4712,35238,31509,3729
1/2/2016 20:00,41060,1948,0,4712,34401,30618,3783
1/2/2016 21:00,40569,2158,0,4712,33700,29370,4330
1/2/2016 22:00,39660,2575,0,4712,32373,27918,4455
1/2/2016 23:00,38215,2888,0,4712,30614,26311,4303
1/3/2016 0:00,36512,3150,0,4712,28650,25008,3642
1/3/2016 1:00,35150,3552,0,4712,26886,24120,2766
1/3/2016 2:00,34306,3720,0,4712,25874,23750,2124
1/3/2016 3:00,33941,3836,0,4712,25393,23517,1876
1/3/2016 4:00,33960,4111,0,4712,25138,23897,1241
1/3/2016 5:00,34378,3875,0,4712,25791,24637,1154
1/3/2016 6:00,35319,3823,0,4712,26784,25369,1415
1/3/2016 7:00,36688,3279,0,4712,28698,26774,1924
1/3/2016 8:00,37986,2905,14,4712,30354,27936,2418
1/3/2016 9:00,38542,2396,189,4712,31245,28272,2973
1/3/2016 10:00,38095,1464,238,4712,31681,27637,4044
1/3/2016 11:00,36892,1293,274,4712,30613,26407,4206
1/3/2016 12:00,35485,1520,314,4712,28940,24926,4014
1/3/2016 13:00,34274,1514,327,4712,27722,24349,3373
1/3/2016 14:00,33194,1432,305,4712,26744,23744,3000
1/3/2016 15:00,32352,1378,271,4712,25991,23356,2635
1/3/2016 16:00,31938,1339,231,4712,25656,23649,2007
1/3/2016 17:00,32134,980,213,4712,26230,25088,1142
1/3/2016 18:00,34112,1180,0,4712,28220,27574,646
1/3/2016 19:00,37128,2132,0,4712,30284,27440,2844
1/3/2016 20:00,37908,2751,0,4712,30446,27572,2874
1/3/2016 21:00,37988,2423,0,4712,30853,27547,3306
1/3/2016 22:00,37608,2280,0,4712,30616,26318,4298
1/3/2016 23:00,36279,2028,0,4712,29539,25500,4039
1/4/2016 0:00,34745,1954,0,4712,28080,24938,3142
1/4/2016 1:00,33859,1932,0,4712,27215,24596,2619
1/4/2016 2:00,33687,2409,0,4712,26565,24707,1858
1/4/2016 3:00,34027,2501,0,4712,26814,25293,1521
1/4/2016 4:00,34856,2372,0,4712,27773,26500,1273
1/4/2016 5:00,36609,2431,0,4712,29466,29634,-168
1/4/2016 6:00,39916,1853,0,4712,33351,33523,-172
1/4/2016 7:00,44061,1347,0,4712,38003,35252,2751
1/4/2016 8:00,45767,1101,25,4712,39929,35037,4892
1/4/2016 9:00,44707,736,243,4712,39016,33914,5102
