GenID,GenType,HRType,AvgHR,Fprice,VarOM,Pmax,Pmin,MINUP,MINDOWN,Zone,FuelType,Ramp,AvgOpCost
g1,1,1,10080,2.3,2.96,675,335,6,6,2,1,2,19.54
g2,1,1,10599,2.3,2.33,623,181,6,6,2,1,2,20.45
g3,1,1,10599,2.3,2.33,620,190,6,6,2,1,2,20.45
g4,1,1,10599,2.3,2.33,450,210,6,6,2,1,1,20.45
g5,1,1,10749,2.3,3.97,490,165,6,6,3,1,1,26.52
g6,1,1,10086,2.3,3.21,587,142,6,6,1,1,2,26.53
g7,1,1,10086,2.3,3.21,820,324,6,6,1,1,2,26.53
g8,1,1,11197,2.3,4.5,438,141,6,6,1,1,1.5,29.63
g9,1,1,11197,2.3,4.5,415,139,6,6,1,1,1.5,29.63
g10,1,1,10566,2.3,2.56,890,302,6,6,1,1,1,14.91
g11,1,1,10566,2.3,2.56,905,450,6,6,1,1,1,14.91
g12,1,1,11736,2.3,2.9,865,310,4,4,1,1,2.5,14.35
g13,1,1,11736,2.3,2.9,865,335,4,4,1,1,2,14.35
g14,1,1,11736,2.3,2.9,860,305,4,4,1,1,2.5,14.35
g15,1,1,10752,2.3,2,890,485,4,4,1,1,1,13.23
g16,1,1,10752,2.3,2,880,500,4,4,1,1,1,13.23
g17,1,1,10769,2.3,5.38,695,220,6,6,1,1,1.5,27.51
g18,1,1,12804,2.3,2.6,440,253,4,4,2,1,1,37.8
g19,1,1,9331,2.3,2.9,900,380,6,6,3,1,1.5,18.43
g20,1,1,11608,2.3,2.14,175,100,4,4,1,1,0.3,10.41
g21,1,1,11608,2.3,2.14,175,100,4,4,1,1,0.3,10.41
g22,1,1,10531,2.3,2.7,706,179,6,6,3,1,2,20.16
g23,1,1,10531,2.3,2.7,698,178,6,6,3,1,2,20.16
g24,1,1,10531,2.3,2.7,612,178,6,6,3,1,2,20.16
g25,1,1,10531,2.3,2.7,648,176,6,6,3,1,2,20.16
g26,2,3,7250,3,0.98,466,160,2,2,2,2,1,22.34
g27,2,3,7740,3,2.89,466,185,2,2,2,2,3.2,22.89
g28,2,3,7988,3,1,520,150,2,2,1,2,1,21.81
g29,2,3,7458,3,1,600,150,2,2,3,2,2,20.77
g30,2,3,7332,3,1.01,470,150,2,2,2,2,2,20.22
g31,2,3,7825,3,1.88,320,105,2,2,3,2,2,22.62
g32,2,3,8387,3,1.03,233,90,2,2,2,2,2,22.88
g33,2,3,8387,3,1.03,240,90,2,2,3,2,2,22.88
g34,2,2,7447,3,1.67,330,150,2,2,1,2,1.5,20.95
g35,2,3,7397,3,0.83,650,200,2,2,1,2,6,19.98
g36,2,3,7397,3,0.83,650,200,2,2,1,2,6,19.98
g37,2,3,7227,3,0.78,518,150,2,2,1,2,2,19.48
g38,2,3,7227,3,0.78,518,207.2,2,2,1,2,10,19.48
g39,2,3,7210,3,0.91,480,180,2,2,2,2,6,19.69
g40,2,3,7210,3,0.91,480,180,2,2,2,2,6,19.69
